,X_MSE_AV,X_MAE_AV,Y_MSE_AV,Y_MAE_AV,x_test,y_test,dir
316,0.423,0.651,5.028,2.242,3.0,28.0,2.725
317,2.318,1.523,19.143,4.375,4.0,28.0,10.731
318,0.651,0.807,10.091,3.177,5.0,28.0,5.371
319,0.81,0.9,0.174,0.418,6.0,28.0,0.492
320,0.823,0.907,0.496,0.705,7.0,28.0,0.66
321,0.891,0.944,183.754,13.556,8.0,28.0,92.322
322,2.607,1.615,25.633,5.063,9.0,28.0,14.12
323,5.526,2.351,5.252,2.292,10.0,28.0,5.389
324,12.801,3.578,97.518,9.875,11.0,28.0,55.16
325,13.557,3.682,8.735,2.956,12.0,28.0,11.146
326,77.834,8.822,2.732,1.653,13.0,28.0,40.283
327,0.724,0.851,87.858,9.373,14.0,28.0,44.291
328,76.667,8.756,24.418,4.942,15.0,28.0,50.543
329,40.608,6.372,54.437,7.378,1.0,29.0,47.523
330,4.695,2.167,3.047,1.746,2.0,29.0,3.871
331,18.207,4.267,4.781,2.187,3.0,29.0,11.494
332,0.912,0.955,1.989,1.41,4.0,29.0,1.45
333,9.34,3.056,16.451,4.056,5.0,29.0,12.896
334,2.539,1.593,4.789,2.188,6.0,29.0,3.664
335,1.708,1.307,0.278,0.527,7.0,29.0,0.993
336,1.762,1.327,33.378,5.777,8.0,29.0,17.57
337,0.532,0.73,52.325,7.234,9.0,29.0,26.429
338,4.65,2.156,2.019,1.421,10.0,29.0,3.335
339,10.458,3.234,62.948,7.934,11.0,29.0,36.703
340,0.004,0.061,6.438,2.537,12.0,29.0,3.221
341,0.394,0.628,33.263,5.767,13.0,29.0,16.828
342,4.049,2.012,55.884,7.476,14.0,29.0,29.967
343,18.447,4.295,24.557,4.955,15.0,29.0,21.502
344,11.46,3.385,26.98,5.194,1.0,30.0,19.22
345,0.046,0.214,50.164,7.083,2.0,30.0,25.105
346,33.045,5.748,25.31,5.031,3.0,30.0,29.177
347,1.769,1.33,96.369,9.817,4.0,30.0,49.069
348,16.585,4.072,25.811,5.08,5.0,30.0,21.198
349,3.269,1.808,43.234,6.575,6.0,30.0,23.252
350,0.215,0.464,7.596,2.756,7.0,30.0,3.906
