187;51,41;7,17;6,177;2,485;15;16
188;50,716;7,122;94,469;9,72;1;17
189;37,454;6,12;12,922;3,595;2;17
190;26,038;5,103;12,817;3,58;3;17
191;17,32;4,162;1,09;1,044;4;17
192;10,229;3,198;0,527;0,726;5;17
193;0,944;0,972;5,373;2,318;7;17
194;0;0,017;0,533;0,73;8;17
195;1,161;1,077;4,912;2,216;9;17
196;9,098;3,016;0,584;0,764;11;17
197;16,239;4,03;0,998;0,999;12;17
198;25,367;5,037;11,821;3,438;13;17
199;38,487;6,204;12,314;3,509;14;17
200;50,6;7,113;94,748;9,734;15;17
201;0,962;0,981;9,664;3,109;7;18
202;0;0,017;2,405;1,551;8;18
203;1,167;1,08;9,495;3,081;9;18
204;51,636;7,186;33,092;5,753;1;19
205;37,768;6,146;0,467;0,683;2;19
206;25,729;5,072;3,071;1,752;3;19
207;16,751;4,093;2,328;1,526;4;19
208;9,605;3,099;1,224;1,106;5;19
209;0,905;0,951;10,051;3,17;7;19
210;0;0,022;6,271;2,504;8;19
211;1,202;1,096;9,992;3,161;9;19
212;9,389;3,064;1,426;1,194;11;19
213;16,267;4,033;2,248;1,499;12;19
214;25,834;5,083;3,294;1,815;13;19
215;37,189;6,098;0,447;0,668;14;19
216;51,096;7,148;31,462;5,609;15;19
217;51,073;7,147;2,376;1,541;1;20
218;37,515;6,125;0,045;0,211;2;20
219;26,616;5,159;1,585;1,259;3;20
220;16,715;4,088;0,324;0,569;4;20
221;10,356;3,218;8,312;2,883;5;20
222;0,879;0,937;13,124;3,623;7;20
223;0,001;0,027;11,538;3,397;8;20
224;1,269;1,127;13,128;3,623;9;20
225;9,389;3,064;1,816;1,347;11;20
226;16,327;4,041;0,304;0,551;12;20
227;25,39;5,039;1,735;1,317;13;20
228;36,58;6,048;0,027;0,165;14;20
229;50,237;7,088;2,266;1,505;15;20
230;52,466;7,243;0,003;0,052;1;21
231;37,829;6,151;0,296;0,544;2;21
232;26,255;5,124;4,802;2,191;3;21
233;17,005;4,124;4,778;2,186;4;21
234;9,572;3,094;2,113;1,454;5;21
235;0,92;0,959;23,104;4,807;7;21
236;0,001;0,032;18,704;4,325;8;21
237;1,254;1,12;23,429;4,84;9;21
238;9,028;3,005;60,398;7,772;11;21
239;16,294;4,037;5,046;2,246;12;21
240;26,192;5,118;4,731;2,175;13;21
241;36,724;6,06;0,452;0,672;14;21
242;50,635;7,116;0,003;0,052;15;21
243;52,015;7,212;0,222;0,471;1;22
244;36,854;6,071;2,087;1,445;2;22
245;26,569;5,155;11,061;3,326;3;22
246;16,611;4,076;3,153;1,776;4;22
247;9,734;3,12;14,544;3,814;5;22
248;0,952;0,976;32,649;5,714;7;22
249;0,002;0,04;28,222;5,312;8;22
250;1,2;1,095;32,617;5,711;9;22
251;9,105;3,017;14,39;3,793;11;22
252;16,291;4,036;3,289;1,814;12;22
253;25,602;5,06;11,733;3,425;13;22
254;37,511;6,125;2,402;1,55;14;22
255;50,821;7,129;0,237;0,487;15;22
256;52,311;7,233;0,018;0,133;1;23
257;37,286;6,106;2,268;1,506;2;23
258;26,4;5,138;1,077;1,038;3;23
259;16,626;4,077;4,825;2,197;4;23
260;9,437;3,072;5,726;2,393;5;23
261;0,95;0,975;39,741;6,304;7;23
262;0,002;0,048;43,007;6,558;8;23
263;1,203;1,097;39,731;6,303;9;23
264;9,423;3,07;6,303;2,511;11;23
265;16,473;4,059;4,792;2,189;12;23
266;25,562;5,056;1,046;1,023;13;23
267;38,265;6,186;2,332;1,527;14;23
268;50,773;7,126;0,009;0,096;15;23
269;52,181;7,224;2,153;1,467;1;25
270;40,103;6,333;0,887;0,942;2;25
271;27,914;5,283;15,48;3,934;3;25
272;17,561;4,191;12,945;3,598;4;25
273;10,531;3,245;7,731;2,78;5;25
274;4,004;2,001;4,533;2,129;6;25
