,X_MSE_AV_1,X_MAE_AV_1,Y_MSE_AV_1,Y_MAE_AV_1,x_test_1,y_test_1,dir_1
271,0.489,0.7,2.919,1.709,3.0,25.0,1.704
272,0.02,0.14,0.025,0.157,4.0,25.0,0.022
273,14.268,3.777,0.084,0.29,5.0,25.0,7.176
274,4.016,2.004,7.419,2.724,6.0,25.0,5.718
275,0.113,0.336,36.671,6.056,7.0,25.0,18.392
276,0.095,0.308,0.296,0.544,8.0,25.0,0.195
277,0.092,0.303,0.023,0.153,9.0,25.0,0.057
278,0.0,0.01,44.414,6.664,10.0,25.0,22.207
279,0.516,0.718,27.809,5.273,11.0,25.0,14.162
280,2.863,1.692,23.753,4.874,12.0,25.0,13.308
281,0.579,0.761,24.685,4.968,13.0,25.0,12.632
282,51.015,7.143,0.009,0.096,14.0,25.0,25.512
283,0.469,0.685,16.84,4.104,15.0,25.0,8.654
284,4.237,2.058,5.218,2.284,1.0,26.0,4.728
285,4.444,2.108,0.039,0.196,2.0,26.0,2.241
286,0.156,0.394,10.469,3.236,3.0,26.0,5.312
287,0.09,0.3,0.08,0.284,4.0,26.0,0.085
288,18.326,4.281,36.061,6.005,5.0,26.0,27.193
289,0.551,0.742,6.301,2.51,6.0,26.0,3.426
290,0.055,0.236,0.405,0.636,7.0,26.0,0.23
291,1.429,1.195,0.842,0.918,8.0,26.0,1.135
292,4.131,2.032,11.024,3.32,9.0,26.0,7.578
293,0.044,0.21,0.061,0.247,10.0,26.0,0.053
294,9.49,3.081,28.906,5.376,11.0,26.0,19.198
295,17.638,4.2,3.827,1.956,12.0,26.0,10.733
296,8.31,2.883,5.736,2.395,13.0,26.0,7.023
297,23.152,4.812,9.272,3.045,14.0,26.0,16.212
298,28.874,5.373,2.011,1.418,15.0,26.0,15.443
299,16.687,4.085,0.031,0.177,1.0,27.0,8.359
300,17.953,4.237,12.596,3.549,2.0,27.0,15.274
301,0.102,0.319,0.862,0.929,3.0,27.0,0.482
302,5.736,2.395,10.861,3.296,4.0,27.0,8.298
303,8.362,2.892,4.931,2.221,5.0,27.0,6.646
304,6.571,2.563,4.935,2.221,6.0,27.0,5.753
305,0.553,0.744,7.949,2.819,7.0,27.0,4.251
306,0.333,0.577,0.047,0.217,8.0,27.0,0.19
307,3.869,1.967,7.65,2.766,9.0,27.0,5.759
308,7.365,2.714,1.072,1.035,10.0,27.0,4.218
309,0.129,0.359,193.682,13.917,11.0,27.0,96.905
310,9.873,3.142,10.028,3.167,12.0,27.0,9.951
311,8.788,2.964,0.465,0.682,13.0,27.0,4.626
312,12.66,3.558,92.473,9.616,14.0,27.0,52.567
313,21.073,4.591,0.895,0.946,15.0,27.0,10.984
314,27.418,5.236,0.006,0.08,1.0,28.0,13.712
315,3.181,1.784,82.057,9.059,2.0,28.0,42.619
316,38.853,6.233,1.353,1.163,3.0,28.0,20.103
317,0.022,0.147,8.33,2.886,4.0,28.0,4.176
318,5.31,2.304,17.973,4.239,5.0,28.0,11.641
319,4.433,2.105,0.308,0.555,6.0,28.0,2.37
320,0.439,0.662,4.814,2.194,7.0,28.0,2.626
321,0.013,0.116,0.656,0.81,8.0,28.0,0.335
322,1.482,1.217,0.127,0.357,9.0,28.0,0.805
323,7.143,2.673,1.982,1.408,10.0,28.0,4.563
324,3.145,1.773,190.794,13.813,11.0,28.0,96.97
325,8.523,2.919,0.003,0.059,12.0,28.0,4.263
326,17.326,4.162,7.639,2.764,13.0,28.0,12.483
327,31.404,5.604,5.986,2.447,14.0,28.0,18.695
328,7.119,2.668,31.839,5.643,15.0,28.0,19.479
329,32.597,5.709,36.506,6.042,1.0,29.0,34.551
330,5.267,2.295,7.256,2.694,2.0,29.0,6.262
331,2.422,1.556,0.671,0.819,3.0,29.0,1.546
332,4.857,2.204,22.4,4.733,4.0,29.0,13.628
333,1.902,1.379,94.4,9.716,5.0,29.0,48.151
334,0.074,0.271,40.208,6.341,6.0,29.0,20.141
335,0.046,0.214,2.754,1.66,7.0,29.0,1.4
336,0.337,0.58,5.124,2.264,8.0,29.0,2.73
337,4.699,2.168,2.438,1.561,9.0,29.0,3.569
338,0.002,0.039,2.9,1.703,10.0,29.0,1.451
339,1.067,1.033,60.172,7.757,11.0,29.0,30.62
340,20.799,4.561,107.402,10.363,12.0,29.0,64.101
341,3.963,1.991,13.936,3.733,13.0,29.0,8.949
342,14.077,3.752,29.06,5.391,14.0,29.0,21.568
343,51.952,7.208,49.336,7.024,15.0,29.0,50.644
344,1.129,1.062,58.107,7.623,1.0,30.0,29.618
345,23.271,4.824,36.082,6.007,2.0,30.0,29.676
346,6.762,2.6,5.528,2.351,3.0,30.0,6.145
347,3.876,1.969,72.498,8.515,4.0,30.0,38.187
348,1.451,1.204,80.08,8.949,5.0,30.0,40.765
349,3.876,1.969,5.111,2.261,6.0,30.0,4.494
350,0.094,0.307,71.58,8.461,7.0,30.0,35.837
351,0.887,0.942,98.797,9.94,8.0,30.0,49.842
352,1.264,1.124,57.889,7.608,9.0,30.0,29.576
353,5.015,2.239,59.832,7.735,10.0,30.0,32.424
354,10.097,3.178,96.425,9.82,11.0,30.0,53.261
355,25.542,5.054,27.594,5.253,12.0,30.0,26.568
356,34.492,5.873,44.832,6.696,13.0,30.0,39.662
357,1.576,1.255,11.624,3.409,14.0,30.0,6.6
358,34.365,5.862,15.482,3.935,15.0,30.0,24.924
359,0.199,0.446,100.155,10.008,1.0,31.0,50.177
360,0.349,0.591,41.221,6.42,2.0,31.0,20.785
361,0.139,0.373,34.255,5.853,3.0,31.0,17.197
362,14.026,3.745,14.17,3.764,4.0,31.0,14.098
363,1.225,1.107,55.113,7.424,5.0,31.0,28.169
364,2.101,1.449,18.836,4.34,6.0,31.0,10.468
365,0.498,0.706,169.173,13.007,7.0,31.0,84.836
366,0.45,0.671,57.952,7.613,8.0,31.0,29.201
367,1.81,1.345,69.767,8.353,9.0,31.0,35.789
368,5.844,2.417,70.277,8.383,10.0,31.0,38.06
369,8.235,2.87,68.079,8.251,11.0,31.0,38.157
370,26.311,5.129,84.431,9.189,12.0,31.0,55.371
371,44.11,6.642,52.063,7.215,13.0,31.0,48.086
372,24.035,4.903,163.943,12.804,14.0,31.0,93.989
